# G6 dry-run baseline (2026-07-09, lane gates-L5-silentzero @ base 084de62f)
#
# EXPECTED-RED BASELINE EVIDENCE, NOT A GATE FAILURE.
# These are pre-G6 legacy results (deep/, deep_v3/, deep_v4/,
# my5090_qwen8_partial_reports/.../scores/): they were written before the
# scorer carried machine-readable zero-reason codes, so every legacy 0 reads
# as silent_zero here. The go-forward pipeline (decidable_scorer axis_reasons
# -> closed_world_eval.evaluate -> build_truth_board per_task_summary) now
# emits a reason for every scored 0; tests/test_gate_silent_zero.py pins that
# a freshly evaluated report passes this checker with zero violations.
# Withhold recognition is aligned to the G4 lane's canonical WithholdReason
# enum (branch gates-L3-withhold, commit 8985c07e), including the
# concept_axis_withheld completeness shape.
#
# NOTE: data/results/model_harness/ and data/results/subset/ do not exist in
# this worktree (box-side result sets, untracked at base 084de62f); the dry-run
# therefore covers every tracked score-result file under data/results/.
# Reproduce: python3 scripts/check_no_silent_zero.py data/results
#
G6 no-silent-zero check: data/results
  files scanned            : 1514
  files parsed as results  : 1157
  (lane, axis) units       : 10089
  violations               : 1512
  by kind                  : silent_zero=1512

VIOLATIONS (source | lane | task | axis | kind):
  data/results/deep/camel-ai__dr_cross_deep_0001_matrix.score.json | camel-ai | dr_cross_deep_0001 | analysis_depth | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0001_smoke.score.json | camel-ai | dr_cross_deep_0001 | claim_nli | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0002_matrix.score.json | camel-ai | dr_cross_deep_0002 | analysis_depth | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0003_matrix.score.json | camel-ai | dr_cross_deep_0003 | completeness | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0003_matrix.score.json | camel-ai | dr_cross_deep_0003 | quote_match | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0003_matrix.score.json | camel-ai | dr_cross_deep_0003 | url_reachability | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0004_matrix.score.json | camel-ai | dr_cross_deep_0004 | completeness | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0005_matrix.score.json | camel-ai | dr_cross_deep_0005 | analysis_depth | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0012_matrix.score.json | camel-ai | dr_cross_deep_0012 | quote_match | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0012_matrix.score.json | camel-ai | dr_cross_deep_0012 | url_coverage | silent_zero | value=0.0 reason=None
  data/results/deep/camel-ai__dr_cross_deep_0012_matrix.score.json | camel-ai | dr_cross_deep_0012 | url_reachability | silent_zero | value=0.0 reason=None
  data/results/deep/claude-code__dr_cross_deep_0001_matrix.score.json | claude-code | dr_cross_deep_0001 | claim_nli | silent_zero | value=0.0 reason=None
  data/results/deep/claude-code__dr_cross_deep_0001_matrix.score.json | claude-code | dr_cross_deep_0001 | perspective_balance | silent_zero | value=0.0 reason=None
  data/results/deep/claude-code__dr_cross_deep_0002_matrix.score.json | claude-code | dr_cross_deep_0002 | perspective_balance | silent_zero | value=0.0 reason=None
  data/results/deep/claude-code__dr_cross_deep_0003_matrix.score.json | claude-code | dr_cross_deep_0003 | completeness | silent_zero | value=0.0 reason=None
  data/results/deep/claude-code__dr_cross_deep_0003_matrix.score.json | claude-code | dr_cross_deep_0003 | perspective_balance | silent_zero | value=0.0 reason=None
  data/results/deep/claude-code__dr_cross_deep_0004_matrix.score.json | claude-code | dr_cross_deep_0004 | completeness | silent_zero | value=0.0 reason=None
  data/results/deep/eff-qwen-flash__dr_cross_deep_0001_matrix.score.json | eff-qwen-flash | dr_cross_deep_0001_matrix | completeness | silent_zero | value=0.0 reason=None
  data/results/deep/eff-qwen3-30b-a3b-instruct-2507__dr_cross_deep_0001_matrix.score.json | eff-qwen3-30b-a3b-instruct-2507 | dr_cross_deep_0001_matrix | completeness | silent_zero | value=0.0 reason=None
  data/results/deep/eff-qwen3-32b__dr_cross_deep_0001_matrix.score.json | eff-qwen3-32b | dr_cross_deep_0001_matrix | completeness | silent_zero | value=0.0 reason=None
