agent,task_id,composite_v4,composite_score,raw_score_v3,answer_chars,score_file,answer_file
camel-ai,dr_cross_deep_0001,0.6553,0.1,0.5775,5427,scores/camel-ai__dr_cross_deep_0001_matrix.score.json,answers/camel-ai__dr_cross_deep_0001_matrix.md
claude-code,dr_cross_deep_0001,0.0,0.0,0.1325,2691,scores/claude-code__dr_cross_deep_0001_matrix.score.json,answers/claude-code__dr_cross_deep_0001_matrix.md
deerflow,dr_cross_deep_0001,0.5346,0.1,0.5317,8937,scores/deerflow__dr_cross_deep_0001_matrix.score.json,answers/deerflow__dr_cross_deep_0001_matrix.md
flowsearcher-ds,dr_cross_deep_0001,0.0,0.0,0.0667,27,scores/flowsearcher-ds__dr_cross_deep_0001_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0001_matrix.md
gpt-researcher,dr_cross_deep_0001,0.0,0.0,0.2317,7641,scores/gpt-researcher__dr_cross_deep_0001_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0001_matrix.md
ii-researcher,dr_cross_deep_0001,0.4958,0.1,0.4392,5949,scores/ii-researcher__dr_cross_deep_0001_matrix.score.json,answers/ii-researcher__dr_cross_deep_0001_matrix.md
langchain-odr,dr_cross_deep_0001,0.0,0.0,0.235,11339,scores/langchain-odr__dr_cross_deep_0001_matrix.score.json,answers/langchain-odr__dr_cross_deep_0001_matrix.md
ldr,dr_cross_deep_0001,0.0,0.0,0.2283,4687,scores/ldr__dr_cross_deep_0001_matrix.score.json,answers/ldr__dr_cross_deep_0001_matrix.md
opencode,dr_cross_deep_0001,0.0,0.0,0.0667,29,scores/opencode__dr_cross_deep_0001_matrix.score.json,answers/opencode__dr_cross_deep_0001_matrix.md
qx-agents,dr_cross_deep_0001,0.0,0.0,0.0667,497,scores/qx-agents__dr_cross_deep_0001_matrix.score.json,answers/qx-agents__dr_cross_deep_0001_matrix.md
smolagents,dr_cross_deep_0001,0.0,0.0,0.1625,3374,scores/smolagents__dr_cross_deep_0001_matrix.score.json,answers/smolagents__dr_cross_deep_0001_matrix.md
claude-code,dr_cross_deep_0002,0.0,0.0,0.0917,1247,scores/claude-code__dr_cross_deep_0002_matrix.score.json,answers/claude-code__dr_cross_deep_0002_matrix.md
deerflow,dr_cross_deep_0002,0.4753,0.1,0.5658,10417,scores/deerflow__dr_cross_deep_0002_matrix.score.json,answers/deerflow__dr_cross_deep_0002_matrix.md
flowsearcher-ds,dr_cross_deep_0002,0.0,0.0,0.0667,27,scores/flowsearcher-ds__dr_cross_deep_0002_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0002_matrix.md
gpt-researcher,dr_cross_deep_0002,0.0,0.0,0.2092,5914,scores/gpt-researcher__dr_cross_deep_0002_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0002_matrix.md
ii-researcher,dr_cross_deep_0002,0.3556,0.1,0.45,6756,scores/ii-researcher__dr_cross_deep_0002_matrix.score.json,answers/ii-researcher__dr_cross_deep_0002_matrix.md
langchain-odr,dr_cross_deep_0002,0.0,0.0,0.2167,6046,scores/langchain-odr__dr_cross_deep_0002_matrix.score.json,answers/langchain-odr__dr_cross_deep_0002_matrix.md
ldr,dr_cross_deep_0002,0.0,0.0,0.2017,4398,scores/ldr__dr_cross_deep_0002_matrix.score.json,answers/ldr__dr_cross_deep_0002_matrix.md
opencode,dr_cross_deep_0002,0.0,0.0,0.0667,29,scores/opencode__dr_cross_deep_0002_matrix.score.json,answers/opencode__dr_cross_deep_0002_matrix.md
qx-agents,dr_cross_deep_0002,0.0,0.0,0.0667,497,scores/qx-agents__dr_cross_deep_0002_matrix.score.json,answers/qx-agents__dr_cross_deep_0002_matrix.md
smolagents,dr_cross_deep_0002,0.0,0.0,0.1292,2264,scores/smolagents__dr_cross_deep_0002_matrix.score.json,answers/smolagents__dr_cross_deep_0002_matrix.md
camel-ai,dr_cross_deep_0003,0.0,0.0,0.2233,6310,scores/camel-ai__dr_cross_deep_0003_matrix.score.json,answers/camel-ai__dr_cross_deep_0003_matrix.md
claude-code,dr_cross_deep_0003,0.0,0.0,0.155,2992,scores/claude-code__dr_cross_deep_0003_matrix.score.json,answers/claude-code__dr_cross_deep_0003_matrix.md
deerflow,dr_cross_deep_0003,0.473,0.1,0.57,8160,scores/deerflow__dr_cross_deep_0003_matrix.score.json,answers/deerflow__dr_cross_deep_0003_matrix.md
flowsearcher-ds,dr_cross_deep_0003,0.0,0.0,0.0667,27,scores/flowsearcher-ds__dr_cross_deep_0003_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0003_matrix.md
gpt-researcher,dr_cross_deep_0003,0.0,0.0,0.2083,7653,scores/gpt-researcher__dr_cross_deep_0003_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0003_matrix.md
ii-researcher,dr_cross_deep_0003,0.0,0.0,0.2358,5773,scores/ii-researcher__dr_cross_deep_0003_matrix.score.json,answers/ii-researcher__dr_cross_deep_0003_matrix.md
langchain-odr,dr_cross_deep_0003,0.0,0.0,0.2125,6776,scores/langchain-odr__dr_cross_deep_0003_matrix.score.json,answers/langchain-odr__dr_cross_deep_0003_matrix.md
ldr,dr_cross_deep_0003,0.0,0.0,0.2167,4666,scores/ldr__dr_cross_deep_0003_matrix.score.json,answers/ldr__dr_cross_deep_0003_matrix.md
opencode,dr_cross_deep_0003,0.0,0.0,0.0667,29,scores/opencode__dr_cross_deep_0003_matrix.score.json,answers/opencode__dr_cross_deep_0003_matrix.md
qx-agents,dr_cross_deep_0003,0.0,0.0,0.0667,497,scores/qx-agents__dr_cross_deep_0003_matrix.score.json,answers/qx-agents__dr_cross_deep_0003_matrix.md
smolagents,dr_cross_deep_0003,0.0,0.0,0.2092,3488,scores/smolagents__dr_cross_deep_0003_matrix.score.json,answers/smolagents__dr_cross_deep_0003_matrix.md
camel-ai,dr_cross_deep_0004,0.241,0.0396,0.3367,5482,scores/camel-ai__dr_cross_deep_0004_matrix.score.json,answers/camel-ai__dr_cross_deep_0004_matrix.md
claude-code,dr_cross_deep_0004,0.0,0.0,0.09,540,scores/claude-code__dr_cross_deep_0004_matrix.score.json,answers/claude-code__dr_cross_deep_0004_matrix.md
deerflow,dr_cross_deep_0004,0.0,0.0,0.235,11317,scores/deerflow__dr_cross_deep_0004_matrix.score.json,answers/deerflow__dr_cross_deep_0004_matrix.md
flowsearcher-ds,dr_cross_deep_0004,0.0,0.0,0.0667,27,scores/flowsearcher-ds__dr_cross_deep_0004_matrix.score.json,answers/flowsearcher-ds__dr_cross_deep_0004_matrix.md
gpt-researcher,dr_cross_deep_0004,0.0,0.0,0.2292,7595,scores/gpt-researcher__dr_cross_deep_0004_matrix.score.json,answers/gpt-researcher__dr_cross_deep_0004_matrix.md
